Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,767726861,9849.546293176105,168668,2.1639249042471977,0,6948764,89.14911822833247,864,0.011084681844034317,0,
United States of America,Americas,103436829,31249.547,0,0,0,1127152,340.527,0,0,0
China,Western Pacific,99292081,6748.655,3144,0.214,0,121490,8.257,25,0.002,0
India,South-East Asia,44994351,3260.45,254,0.018,0,531908,38.544,3,0,0
France,Europe,38989382,59947.365,0,0,0,167923,258.187,0,0,0
Germany,Europe,38435774,46215.335,0,0,0,174807,210.189,0,0,0
Brazil,Americas,37671420,17722.772,15370,7.231,0,703964,331.185,245,0.115,0
Japan,Western Pacific,33803572,26727.165,0,0,0,74694,59.058,0,0,0
Republic of Korea,Western Pacific,32256154,62915.285,124548,242.93,0,35071,68.406,54,0.105,0
Italy,Europe,25897801,43422.46,1372,2.3,0,190868,320.026,13,0.022,0
The United Kingdom,Europe,24639160,36294.904,176,0.259,0,227739,335.473,0,0,0
Russian Federation,Europe,22963688,15735.617,4490,3.077,0,399649,273.855,86,0.059,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13970616,29515.834,0,0,0,121724,257.167,0,0,0
Viet Nam,Western Pacific,11620623,11938.353,359,0.369,0,43206,44.387,0,0,0
Australia,Western Pacific,11508834,45132.888,0,0,0,21917,85.949,232,0.91,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8616175,49496.671,0,0,0,22986,132.046,0,0,0
Mexico,Americas,7633355,5920.416,15,0.012,0,334336,259.31,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7612537,9063.305,123,0.146,0,146297,174.178,5,0.006,0
Indonesia,South-East Asia,6812127,2490.508,182,0.067,0,161879,59.183,9,0.003,0
Poland,Europe,6517918,17171.332,57,0.15,0,119626,315.152,2,0.005,0
Colombia,Americas,6373599,12526.016,1207,2.372,0,142836,280.715,29,0.057,0
Austria,Europe,6081287,68320.9,308,3.46,0,22534,253.161,0,0,0
Portugal,Europe,5593092,54323.441,0,0,0,26899,261.259,0,0,0
Ukraine,Europe,5517487,12616.082,0,0,0,109891,251.273,0,0,0
Greece,Europe,5336533,49787.756,0,0,0,37194,347.005,0,0,0
Chile,Americas,5288184,27663.363,161,0.842,0,61577,322.119,11,0.058,0
Malaysia,Western Pacific,5122019,15825.308,0,0,0,37152,114.787,25,0.077,0
Israel,Europe,4829214,55793.324,258,2.981,0,12568,145.202,1,0.012,0
Belgium,Europe,4801724,41672.805,24,0.208,0,34375,298.331,0,0,0
Thailand,South-East Asia,4752422,6808.63,859,1.231,0,34371,49.242,43,0.062,0
Canada,Americas,4688830,12423.324,0,0,0,52860,140.056,0,0,0
